id,name,type,level,year,floors,elevator,elevator_goods,building_area,property_fee,park_fee,park_overground,park_underground,floor_area,floor_height,pure_height,hall_height,if_foreign,if_register,latitude,longitude,store_nearby,mall_nearby,park_nearby,hotel_nearby,metro_nearby,rent,rent_haozu,rent_BC_haozu
340,亨通国际大厦,4,2,21,23,3,1,14738,15,500,10,50,500,3.5,2.5,3.5,1,1,31.2248,121.427,30,6,30,26,1,3.85,4.5,6.92
348,绿地威科国际商业广场,5,3,10,14,4,1,49087,10,700,40,319,800,4,2.8,6,0,1,31.2719,121.434,25,1,25,9,1,2.33,4.49,3.28
354,胜富仁大厦,4,3,6,11,3,0,15282,17,0,0,0,1190,3.9,0,5,1,1,31.1396,121.41,10,5,10,4,1,4.06,5,5.16
363,中金国际广场,5,3,10,22,5,2,103155,25.5,1500,60,353,1448,4,2.7,8,1,1,31.1972,121.445,26,0,26,27,2,5.88,8.13,7.52
364,张江国创中心,5,3,2,4,2,0,94000,18.8,0,350,0,24000,6.5,4.5,17,1,1,31.2255,121.634,0,1,0,0,0,4.06,4.1,4.68
381,林顿大厦,4,3,18,28,3,1,37500,4.5,20,20,70,1340,3.3,3,8,1,1,31.2616,121.458,26,1,0,19,0,1.99,3.15,5.92
398,文新报业大厦,4,3,20,43,11,1,71169,45,1000,20,340,2900,3,4,5,1,1,31.2317,121.464,35,10,35,43,3,3.33,5.7,8.86
399,上海国际设计交流中心,4,3,-1,0,2,0,38000,0,0,0,0,0,0,0,0,1,1,31.2701,121.531,18,2,18,3,1,2.54,2.5,5.44
400,湾谷科技园,4,3,-1,0,0,0,410000,12,0,0,0,0,4.2,0,0,1,1,31.3436,121.509,3,0,3,0,0,3.05,3.29,3.46
423,金陵商务广场,4,3,11,12,2,1,13114,22,850,32,160,1000,3,2.7,6.5,1,1,31.1785,121.414,6,0,6,1,0,3.55,4,4.78
479,虹桥银城大厦,4,3,16,30,6,1,29000,30,1200,10,100,950,3.4,2.5,7,1,1,31.2073,121.42,13,0,13,9,1,3.04,4.03,7.31
480,丰树商业城,5,3,-1,22,10,0,306630,0,0,0,0,0,4.5,0,0,1,1,31.136,121.367,4,1,4,2,1,4.56,5.31,4.81
484,和源大楼,2,3,-1,9,2,1,14120,9.8,600,95,0,600,3.4,2.8,5.5,1,1,31.2711,121.474,31,4,31,11,1,3.35,4,4.91
505,虹桥新地中心,4,3,4,9,14,0,76000,14,0,0,0,0,4.18,0,0,1,1,31.1924,121.334,1,0,1,0,0,5.58,8.03,6.16
531,联合大厦,4,3,30,34,5,2,57000,10,900,30,150,1676,3,2.5,4,1,1,31.2475,121.427,24,5,24,14,2,2.84,3.76,5.16
543,港陆广场,4,3,22,36,8,2,44650,30,1180,180,200,1500,4,2.5,6,1,1,31.2353,121.485,43,14,43,39,2,6.19,7.79,8.57
554,新曹杨科技大厦,4,3,-1,19,2,0,0,10,0,0,0,0,3.6,0,0,1,1,31.2415,121.397,13,0,13,6,1,3.38,4.32,5.04
567,恒积大厦,5,3,114,20,4,1,60000,23,1000,10,240,1200,2.6,2.5,4.5,1,1,31.2312,121.488,45,12,45,19,1,4.36,6.04,9.28
568,平高国际广场,4,3,8,24,4,0,3500,25,0,0,0,1050,0,0,0,0,1,31.2482,121.453,26,5,26,22,1,5.68,6.19,5.94
586,华宏商务中心,4,3,8,24,8,2,80000,25,600,180,900,2241,3.5,3.2,4,1,1,31.2301,121.4,4,0,4,2,0,4.06,4.93,5.04
598,德必梅园WE,4,2,21,8,2,1,8000,15,600,20,0,1000,3,2.5,3,0,1,31.2434,121.533,20,0,20,20,0,5.27,6.13,13.92
